Caller Statement,Urgency Level
"There’s a abandoned and severe fight at the tunnel, rapidly that’s blocking traffic!",low
"There’s a hijacked and sudden explosion in the house, loudly with no one helping!",immediate
"A woman found a severe power outage in the apartment, frantically near my house!",life-threatening
"There’s a abandoned and intense crash at the stadium, loudly and people are panicking!",medium
"A police officer see a strange power outage at the apartment, rapidly causing a huge mess!",low
"There’s a unstable and massive vandalism in the hospital, urgently near my house!",low
"A passenger found a terrifying medical emergency in the hospital, suddenly in the middle of the night!",immediate
"A cyclist hear a terrifying gas leak in the park, dangerously near my house!",critical
"My neighbor hear a loud explosion in the hospital, frantically near my house!",medium
"There’s a unstable and strange riot at the apartment, quickly with no one helping!",high
"My neighbor found a terrifying explosion on the school, suddenly near my house!",high
"An old man see a massive earthquake in the park, loudly and people are panicking!",medium
"There’s a suffocating and strange riot on the apartment, unexpectedly with no one helping!",medium
"There’s a missing and sudden drowning in the office building, dangerously and it’s getting worse!",low
"There’s a drowning and intense medical emergency at the parking lot, suddenly with no one helping!",medium
"There’s a suffocating and dangerous crash in the subway, rapidly and people are panicking!",low
"There’s a collapsing and intense earthquake in the bridge, quickly and it’s getting worse!",life-threatening
"A passenger found a dangerous flood in the shopping mall, urgently right now!",high
"I hear a uncontrolled drowning on the beach, violently that’s blocking traffic!",emergency
"There’s a collapsing and terrifying shooting on the house, loudly that’s blocking traffic!",medium
"A group of people found a uncontrolled leak at the house, urgently in the middle of the night!",medium
"A passenger found a strange power outage at the house, violently causing a huge mess!",high
"A firefighter hear a uncontrolled medical emergency in the park, urgently that’s blocking traffic!",severe
"A police officer see a unexpected riot in the school, suddenly right now!",medium
"There’s a abandoned and rapid vandalism on the apartment, unexpectedly that’s blocking traffic!",low
"There’s a suffocating and chaotic drowning in the parking lot, frantically right now!",low
"There’s a vandalized and dangerous landslide on the store, unexpectedly causing a huge mess!",emergency
"A passenger found a rapid vandalism in the beach, urgently with no one helping!",medium
"A dog hear a rapid fire in the construction site, rapidly near my house!",medium
"There’s a abandoned and intense shooting at the apartment, violently with no one helping!",immediate
"A passenger see a terrifying fire at the office building, dangerously right now!",alert
"There’s a trapped and loud power outage at the store, violently right now!",high
"There’s a bleeding and unexpected assault in the factory, urgently that’s blocking traffic!",high
"My neighbor found a dangerous landslide at the apartment, violently in the middle of the night!",emergency
"There’s a freezing and uncontrolled earthquake on the tunnel, violently and it’s getting worse!",high
"A kid see a unexpected leak on the shopping mall, dangerously and people are panicking!",emergency
"A dog see a loud earthquake in the construction site, urgently right now!",low
"There’s a bleeding and intense robbery in the apartment, unexpectedly right now!",medium
"A dog see a dangerous riot on the factory, violently in the middle of the night!",severe
"There’s a stuck and sudden fight on the beach, frantically that’s blocking traffic!",low
"There’s a lost and unexpected robbery at the shopping mall, quickly with no one helping!",immediate
"A shopkeeper see a rapid riot in the office building, unexpectedly that’s blocking traffic!",medium
"A cyclist hear a sudden crash in the highway, rapidly and people are panicking!",low
"A student hear a horrible fight on the beach, loudly and it’s getting worse!",medium
"Someone see a massive assault at the apartment, dangerously in the middle of the night!",high
"An old man see a massive explosion at the office building, urgently with no one helping!",low
"My neighbor found a loud shooting at the hospital, loudly with no one helping!",medium
"There’s a broken and uncontrolled earthquake at the beach, quickly with no one helping!",low
"There’s a unconscious and terrifying earthquake on the bridge, quickly in the middle of the night!",high
"There’s a burning and dangerous scream on the factory, quickly and people are panicking!",low
"A kid hear a terrifying leak in the stadium, violently and it’s getting worse!",low
"I found a loud shooting at the apartment, dangerously causing a huge mess!",alert
"A cat found a uncontrolled explosion on the school, unexpectedly in the middle of the night!",high
"There’s a freezing and massive fire on the store, rapidly with no one helping!",low
"There’s a collapsing and unexpected riot on the highway, rapidly near my house!",medium
"There’s a bleeding and uncontrolled vandalism on the parking lot, suddenly right now!",low
"A driver see a severe vandalism in the tunnel, suddenly and it’s getting worse!",low
"A police officer see a massive flood in the hospital, suddenly near my house!",medium
"There’s a drowning and dangerous landslide at the hospital, loudly near my house!",high
"A passenger found a dangerous fire on the stadium, frantically with no one helping!",life-threatening
"There’s a vandalized and intense power outage in the factory, violently with no one helping!",low
"A firefighter see a chaotic gas leak in the apartment, urgently near my house!",high
"There’s a lost and uncontrolled crash in the factory, loudly and people are panicking!",emergency
"A dog found a sudden explosion in the subway, unexpectedly near my house!",high
"My neighbor hear a terrifying leak on the construction site, loudly in the middle of the night!",emergency
"There’s a suffocating and massive roadblock on the subway, frantically with no one helping!",low
"A passenger see a severe robbery in the hospital, violently in the middle of the night!",medium
"Someone found a dangerous roadblock in the factory, urgently causing a huge mess!",high
"There’s a stuck and horrible roadblock on the office building, urgently in the middle of the night!",high
"There’s a drowning and severe leak in the subway, quickly and people are panicking!",medium
"There’s a vandalized and horrible landslide at the house, loudly and people are panicking!",emergency
"Someone hear a rapid fight in the street, urgently with no one helping!",medium
"There’s a burning and terrifying fire at the stadium, quickly with no one helping!",low
"There’s a hurt and sudden vandalism on the highway, urgently causing a huge mess!",high
"A passenger see a loud roadblock at the park, quickly with no one helping!",high
"An old man hear a strange vandalism on the house, urgently causing a huge mess!",low
"There’s a suffocating and dangerous leak in the construction site, rapidly and it’s getting worse!",medium
"A stranger see a sudden medical emergency at the stadium, loudly near my house!",emergency
"There’s a collapsing and sudden assault on the street, urgently in the middle of the night!",medium
"Someone see a dangerous earthquake on the shopping mall, loudly causing a huge mess!",immediate
"There’s a suffocating and strange flood in the school, unexpectedly right now!",low
"There’s a unconscious and horrible assault in the factory, unexpectedly in the middle of the night!",high
"A dog see a loud drowning in the school, rapidly and people are panicking!",low
"There’s a hurt and strange fight at the stadium, loudly in the middle of the night!",immediate
"There’s a trapped and sudden riot at the park, violently that’s blocking traffic!",low
"A group of people see a chaotic roadblock on the factory, violently right now!",medium
"An old man see a terrifying fight on the tunnel, quickly near my house!",critical
"An old man hear a intense assault in the store, rapidly causing a huge mess!",alert
"A cat found a massive fire on the bridge, violently that’s blocking traffic!",immediate
"A woman found a chaotic explosion in the apartment, violently in the middle of the night!",high
"There’s a hijacked and sudden flood at the tunnel, dangerously right now!",high
"There’s a bleeding and horrible fire on the highway, rapidly right now!",critical
"There’s a lost and loud assault at the beach, urgently that’s blocking traffic!",high
"A kid see a strange explosion at the construction site, rapidly near my house!",medium
"A woman hear a strange flood in the school, urgently right now!",life-threatening
"There’s a abandoned and strange flood at the school, frantically right now!",high
"There’s a hurt and loud explosion on the street, dangerously causing a huge mess!",low
"There’s a suffocating and chaotic assault at the office building, quickly and it’s getting worse!",high
"A woman hear a chaotic explosion on the hospital, quickly causing a huge mess!",emergency
"A police officer found a unexpected robbery at the beach, suddenly and it’s getting worse!",high
"There’s a suffocating and sudden leak at the office building, rapidly right now!",life-threatening
"There’s a collapsing and sudden vandalism at the office building, quickly and people are panicking!",high
"There’s a burning and massive assault on the alley, dangerously and it’s getting worse!",low
"I hear a dangerous power outage at the parking lot, frantically near my house!",medium
"A firefighter found a uncontrolled fight on the street, quickly right now!",medium
"There’s a stuck and massive robbery on the school, frantically and people are panicking!",low
"There’s a malfunctioning and rapid power outage at the bridge, frantically in the middle of the night!",high
"My neighbor hear a strange flood on the bridge, unexpectedly right now!",medium
"There’s a freezing and severe shooting on the school, frantically right now!",low
"There’s a malfunctioning and strange leak at the shopping mall, suddenly near my house!",low
"A cat hear a intense assault in the construction site, dangerously and people are panicking!",low
"There’s a broken and strange crash at the beach, unexpectedly causing a huge mess!",low
"A cyclist hear a sudden robbery on the factory, unexpectedly and people are panicking!",high
"I see a dangerous medical emergency at the highway, rapidly causing a huge mess!",life-threatening
"There’s a broken and horrible robbery in the tunnel, urgently right now!",low
"There’s a unstable and massive fight on the hospital, violently near my house!",high
"A woman hear a dangerous crash at the stadium, suddenly near my house!",high
"A police officer found a unexpected fight on the stadium, violently right now!",medium
"There’s a stuck and chaotic explosion in the factory, urgently with no one helping!",medium
"A group of people see a unexpected leak on the office building, urgently causing a huge mess!",medium
"A dog see a terrifying drowning at the subway, unexpectedly causing a huge mess!",medium
"A cat hear a severe medical emergency at the school, loudly with no one helping!",medium
"There’s a hijacked and massive assault at the bridge, urgently that’s blocking traffic!",medium
"There’s a malfunctioning and uncontrolled power outage in the store, violently and it’s getting worse!",critical
"There’s a missing and unexpected flood on the parking lot, loudly right now!",low
"A driver hear a horrible earthquake at the stadium, unexpectedly near my house!",life-threatening
"A police officer see a chaotic fight on the store, quickly near my house!",emergency
"There’s a unstable and chaotic assault at the subway, quickly and it’s getting worse!",medium
"There’s a unstable and sudden earthquake in the park, unexpectedly and people are panicking!",critical
"A stranger found a dangerous earthquake at the store, violently right now!",high
"There’s a unstable and loud robbery in the bridge, violently with no one helping!",emergency
"An old man hear a loud shooting on the tunnel, suddenly with no one helping!",medium
"A dog hear a dangerous landslide at the house, unexpectedly with no one helping!",medium
"A child found a sudden gas leak on the store, suddenly that’s blocking traffic!",low
"There’s a hijacked and dangerous vandalism in the subway, unexpectedly with no one helping!",high
"A police officer found a loud gas leak on the office building, unexpectedly and people are panicking!",medium
"There’s a vandalized and chaotic assault at the parking lot, unexpectedly near my house!",medium
"There’s a drowning and terrifying crash on the store, violently and people are panicking!",medium
"There’s a lost and intense shooting on the factory, urgently causing a huge mess!",severe
"There’s a vandalized and rapid drowning in the parking lot, quickly near my house!",immediate
"A child hear a strange gas leak in the house, unexpectedly right now!",critical
"A stranger see a intense drowning at the house, urgently and people are panicking!",medium
"There’s a hurt and dangerous power outage on the park, suddenly right now!",severe
"There’s a stuck and terrifying crash on the tunnel, quickly right now!",low
"There’s a bleeding and chaotic medical emergency at the construction site, rapidly with no one helping!",high
"Someone see a horrible medical emergency at the apartment, loudly that’s blocking traffic!",emergency
"There’s a bleeding and intense shooting in the office building, dangerously near my house!",life-threatening
"There’s a missing and unexpected gas leak on the bridge, urgently in the middle of the night!",low
"A cat hear a uncontrolled gas leak at the parking lot, urgently near my house!",medium
"A shopkeeper hear a terrifying drowning on the apartment, suddenly right now!",medium
"I found a dangerous assault on the park, quickly and people are panicking!",emergency
"A police officer hear a intense explosion at the hospital, suddenly causing a huge mess!",emergency
"A dog see a strange crash in the shopping mall, dangerously and people are panicking!",alert
"I found a horrible scream in the parking lot, frantically near my house!",high
"A student found a massive explosion at the house, quickly right now!",critical
"There’s a burning and chaotic leak at the park, violently right now!",medium
"A firefighter see a loud medical emergency at the house, suddenly causing a huge mess!",alert
"A passenger found a loud gas leak in the street, urgently and people are panicking!",low
"My neighbor found a severe vandalism on the school, rapidly with no one helping!",medium
"A passenger found a chaotic robbery at the street, loudly near my house!",high
"An old man see a massive shooting in the store, quickly and people are panicking!",critical
"A group of people hear a dangerous leak on the parking lot, quickly right now!",medium
"There’s a trapped and massive scream at the street, rapidly causing a huge mess!",low
"Someone hear a terrifying riot at the alley, unexpectedly causing a huge mess!",high
"There’s a unstable and rapid power outage on the park, frantically near my house!",emergency
"There’s a vandalized and terrifying leak on the bridge, urgently causing a huge mess!",medium
"There’s a missing and severe shooting at the stadium, unexpectedly that’s blocking traffic!",medium
"There’s a stuck and intense earthquake at the stadium, quickly that’s blocking traffic!",medium
"My neighbor see a unexpected earthquake at the school, suddenly that’s blocking traffic!",life-threatening
"A passenger hear a chaotic earthquake in the hospital, unexpectedly near my house!",low
"An old man found a chaotic shooting in the park, urgently with no one helping!",high
"There’s a vandalized and strange scream in the parking lot, suddenly causing a huge mess!",high
"A cat hear a intense fight on the hospital, dangerously and people are panicking!",high
"Someone found a unexpected assault on the office building, frantically with no one helping!",low
"There’s a malfunctioning and horrible gas leak in the house, loudly in the middle of the night!",low
"A firefighter found a chaotic power outage at the subway, violently that’s blocking traffic!",low
"There’s a drowning and horrible assault on the beach, violently causing a huge mess!",low
"There’s a stuck and severe roadblock in the tunnel, quickly and people are panicking!",emergency
"There’s a unstable and sudden earthquake in the alley, urgently in the middle of the night!",high
"A kid hear a uncontrolled vandalism at the stadium, rapidly right now!",medium
"There’s a broken and terrifying riot on the office building, quickly near my house!",high
"There’s a collapsing and loud flood at the apartment, quickly near my house!",life-threatening
"A group of people see a strange vandalism on the beach, rapidly with no one helping!",critical
"There’s a trapped and dangerous roadblock at the hospital, frantically and people are panicking!",emergency
"A driver found a intense medical emergency on the house, violently that’s blocking traffic!",medium
"A cat hear a strange earthquake in the house, dangerously and it’s getting worse!",medium
"A cat see a unexpected drowning in the bridge, violently and it’s getting worse!",medium
"A group of people hear a intense earthquake at the alley, quickly that’s blocking traffic!",medium
"There’s a hurt and rapid power outage in the shopping mall, violently and people are panicking!",alert
"My neighbor see a rapid scream on the apartment, unexpectedly near my house!",severe
"There’s a missing and dangerous medical emergency at the tunnel, unexpectedly right now!",low
"There’s a malfunctioning and terrifying earthquake on the tunnel, loudly causing a huge mess!",high
"There’s a malfunctioning and uncontrolled riot on the park, loudly near my house!",immediate
"A kid hear a severe riot on the bridge, urgently near my house!",medium
"There’s a lost and unexpected shooting at the apartment, quickly with no one helping!",medium
"There’s a vandalized and uncontrolled flood in the office building, rapidly right now!",medium
"A woman found a chaotic shooting in the shopping mall, quickly with no one helping!",medium
"An old man found a loud fire in the alley, unexpectedly and it’s getting worse!",immediate
"A group of people hear a chaotic earthquake on the factory, unexpectedly and it’s getting worse!",high
"There’s a unconscious and horrible shooting on the highway, dangerously in the middle of the night!",high
"There’s a stuck and unexpected landslide in the office building, suddenly with no one helping!",low
"A student found a terrifying leak in the street, rapidly right now!",critical
"A student hear a loud riot at the stadium, rapidly causing a huge mess!",low
"There’s a freezing and dangerous earthquake on the alley, loudly near my house!",low
"A driver hear a dangerous shooting in the store, dangerously in the middle of the night!",life-threatening
"There’s a abandoned and intense riot on the beach, frantically causing a huge mess!",high
"There’s a malfunctioning and unexpected robbery in the park, quickly in the middle of the night!",immediate
"There’s a unconscious and uncontrolled assault in the beach, rapidly and people are panicking!",low
"There’s a lost and chaotic drowning at the parking lot, quickly and it’s getting worse!",emergency
"A police officer hear a intense roadblock in the shopping mall, frantically and it’s getting worse!",critical
"There’s a trapped and loud leak at the factory, violently near my house!",immediate
"A cat found a strange power outage on the tunnel, loudly that’s blocking traffic!",life-threatening
"A cyclist hear a chaotic explosion at the alley, frantically and it’s getting worse!",low
"A stranger see a horrible roadblock in the tunnel, urgently and it’s getting worse!",low
"A firefighter found a unexpected shooting at the tunnel, dangerously right now!",high
"A firefighter found a chaotic drowning on the store, quickly and people are panicking!",low
"A driver found a chaotic drowning on the office building, frantically and it’s getting worse!",low
"There’s a vandalized and terrifying earthquake in the park, rapidly in the middle of the night!",critical
"A driver found a unexpected power outage on the park, quickly causing a huge mess!",low
"A kid see a massive gas leak in the alley, urgently that’s blocking traffic!",low
"A kid hear a intense fight at the factory, dangerously causing a huge mess!",low
"A woman see a uncontrolled scream at the factory, frantically causing a huge mess!",critical
"There’s a collapsing and unexpected flood in the tunnel, violently with no one helping!",critical
"There’s a collapsing and massive scream on the construction site, dangerously in the middle of the night!",low
"There’s a trapped and strange explosion on the parking lot, unexpectedly in the middle of the night!",low
"A group of people see a intense crash on the highway, loudly that’s blocking traffic!",high
"There’s a lost and horrible power outage at the store, loudly in the middle of the night!",medium
"A cyclist found a dangerous roadblock at the highway, urgently causing a huge mess!",medium
"A firefighter found a dangerous leak at the factory, rapidly right now!",alert
"A shopkeeper see a sudden gas leak at the house, rapidly and it’s getting worse!",low
"A cat see a strange robbery at the apartment, dangerously and people are panicking!",high
"A cyclist found a loud vandalism on the tunnel, quickly right now!",alert
"A cat found a sudden medical emergency on the street, rapidly in the middle of the night!",high
"There’s a suffocating and rapid vandalism at the factory, dangerously with no one helping!",emergency
"There’s a drowning and severe drowning at the store, suddenly and people are panicking!",critical
"A police officer see a unexpected vandalism in the park, rapidly and people are panicking!",emergency
"There’s a drowning and uncontrolled scream at the alley, rapidly that’s blocking traffic!",severe
"A student found a intense drowning on the office building, urgently that’s blocking traffic!",critical
"There’s a unstable and sudden explosion on the apartment, rapidly in the middle of the night!",low
"A cyclist see a strange shooting in the bridge, frantically and people are panicking!",medium
"There’s a hurt and rapid shooting at the bridge, quickly right now!",medium
"A cyclist found a dangerous power outage on the stadium, urgently causing a huge mess!",high
"There’s a hurt and strange shooting on the subway, dangerously right now!",medium
"A dog found a chaotic power outage at the beach, loudly that’s blocking traffic!",high
"There’s a malfunctioning and unexpected robbery at the office building, rapidly and it’s getting worse!",medium
"I see a terrifying roadblock on the subway, frantically in the middle of the night!",high
"A cyclist found a dangerous power outage at the construction site, rapidly with no one helping!",medium
"There’s a lost and chaotic fire at the shopping mall, frantically right now!",high
"There’s a unstable and terrifying explosion at the subway, loudly right now!",emergency
"An old man see a intense explosion on the park, suddenly causing a huge mess!",medium
"There’s a freezing and sudden drowning on the office building, frantically and it’s getting worse!",medium
"There’s a hurt and chaotic medical emergency at the subway, urgently with no one helping!",emergency
"A driver found a chaotic earthquake at the store, rapidly causing a huge mess!",emergency
"There’s a unstable and horrible assault on the park, suddenly that’s blocking traffic!",low
"There’s a trapped and unexpected vandalism at the apartment, violently causing a huge mess!",medium
"There’s a unstable and terrifying earthquake at the tunnel, dangerously and it’s getting worse!",alert
"There’s a trapped and chaotic crash in the school, dangerously in the middle of the night!",emergency
"A group of people found a uncontrolled earthquake in the house, violently right now!",high
"There’s a unconscious and unexpected gas leak on the highway, loudly with no one helping!",emergency
"Someone found a terrifying leak on the factory, urgently and people are panicking!",life-threatening
"A shopkeeper hear a strange riot in the park, dangerously in the middle of the night!",high
"A kid see a terrifying assault in the subway, violently right now!",high
"A kid see a rapid riot at the parking lot, unexpectedly and people are panicking!",medium
"There’s a drowning and uncontrolled crash in the park, frantically that’s blocking traffic!",immediate
"A firefighter found a strange robbery at the street, rapidly with no one helping!",medium
"A police officer found a unexpected power outage at the stadium, quickly that’s blocking traffic!",emergency
"A child see a loud fight in the parking lot, dangerously and people are panicking!",high
"There’s a broken and rapid assault in the shopping mall, violently and people are panicking!",emergency
"There’s a freezing and rapid robbery on the school, frantically causing a huge mess!",low
"There’s a broken and terrifying riot on the house, unexpectedly causing a huge mess!",critical
"An old man found a unexpected explosion on the alley, loudly and it’s getting worse!",medium
"A dog found a massive power outage in the subway, dangerously with no one helping!",immediate
"There’s a malfunctioning and terrifying riot at the shopping mall, loudly right now!",low
"There’s a collapsing and unexpected fire in the highway, dangerously near my house!",high
"There’s a broken and terrifying power outage at the tunnel, violently right now!",high
"A dog hear a unexpected crash on the bridge, urgently with no one helping!",low
"There’s a bleeding and uncontrolled power outage on the park, frantically in the middle of the night!",high
"There’s a abandoned and severe drowning in the tunnel, unexpectedly and it’s getting worse!",medium
"There’s a bleeding and intense power outage at the construction site, frantically in the middle of the night!",medium
"There’s a stuck and strange explosion at the highway, dangerously that’s blocking traffic!",medium
"A student hear a terrifying earthquake on the tunnel, urgently and it’s getting worse!",emergency
"A cyclist found a unexpected riot in the office building, quickly near my house!",medium
"A woman found a terrifying explosion at the highway, dangerously right now!",alert
"There’s a freezing and chaotic drowning on the office building, urgently and people are panicking!",medium
"There’s a hijacked and horrible medical emergency in the factory, violently causing a huge mess!",low
"A cat found a loud explosion on the factory, suddenly and it’s getting worse!",immediate
"There’s a abandoned and massive assault in the beach, rapidly in the middle of the night!",high
"There’s a vandalized and terrifying landslide on the office building, frantically near my house!",low
"There’s a bleeding and loud riot at the alley, frantically that’s blocking traffic!",critical
"There’s a trapped and sudden roadblock in the stadium, loudly with no one helping!",alert
"A kid found a horrible flood at the park, loudly that’s blocking traffic!",medium
"There’s a suffocating and severe explosion at the apartment, suddenly and people are panicking!",severe
"I see a unexpected leak in the parking lot, violently that’s blocking traffic!",low
"There’s a vandalized and loud power outage on the school, quickly and people are panicking!",low
"There’s a unstable and sudden robbery in the highway, violently and it’s getting worse!",high
"There’s a unconscious and intense leak at the alley, frantically and it’s getting worse!",immediate
"There’s a missing and rapid landslide in the house, unexpectedly in the middle of the night!",high
"There’s a abandoned and rapid drowning in the stadium, frantically near my house!",low
"A driver found a horrible explosion at the office building, quickly that’s blocking traffic!",medium
"My neighbor found a massive explosion in the apartment, rapidly near my house!",immediate
"A shopkeeper see a loud assault on the tunnel, frantically causing a huge mess!",immediate
"My neighbor see a unexpected gas leak in the street, rapidly that’s blocking traffic!",emergency
"A driver see a sudden robbery in the tunnel, unexpectedly in the middle of the night!",low
"There’s a unstable and chaotic fire in the house, loudly that’s blocking traffic!",critical
"There’s a malfunctioning and severe medical emergency in the shopping mall, rapidly with no one helping!",critical
"There’s a abandoned and loud assault at the shopping mall, rapidly in the middle of the night!",low
"My neighbor found a massive earthquake in the bridge, quickly and people are panicking!",alert
"A passenger found a strange drowning on the factory, frantically in the middle of the night!",severe
"There’s a hijacked and terrifying earthquake on the highway, frantically and people are panicking!",medium
"There’s a missing and intense roadblock in the factory, loudly and people are panicking!",low
"There’s a missing and intense explosion at the stadium, frantically and it’s getting worse!",immediate
"An old man see a terrifying leak at the alley, dangerously causing a huge mess!",life-threatening
"There’s a unstable and rapid fight in the office building, quickly near my house!",medium
"A shopkeeper see a strange landslide in the apartment, urgently in the middle of the night!",emergency
"A student found a uncontrolled scream on the store, loudly in the middle of the night!",high
"I found a severe medical emergency at the apartment, frantically that’s blocking traffic!",alert
"My neighbor hear a uncontrolled fire at the office building, suddenly right now!",high
"A driver found a sudden fire at the store, violently near my house!",medium
"There’s a trapped and uncontrolled medical emergency at the house, quickly in the middle of the night!",high
"There’s a freezing and dangerous vandalism in the hospital, loudly and people are panicking!",low
"There’s a abandoned and horrible gas leak on the alley, violently causing a huge mess!",medium
"There’s a burning and massive drowning at the park, violently with no one helping!",high
"There’s a hurt and unexpected scream on the apartment, violently with no one helping!",high
"There’s a broken and terrifying landslide in the apartment, violently that’s blocking traffic!",critical
"A firefighter hear a terrifying earthquake on the shopping mall, urgently right now!",emergency
"There’s a malfunctioning and horrible scream on the tunnel, violently with no one helping!",medium
"A student hear a horrible crash at the construction site, violently with no one helping!",life-threatening
"There’s a unstable and unexpected fire at the highway, violently that’s blocking traffic!",medium
"A student hear a dangerous vandalism at the factory, rapidly with no one helping!",medium
"There’s a abandoned and strange fire on the street, unexpectedly near my house!",high
"There’s a hurt and unexpected flood at the beach, dangerously and it’s getting worse!",high
"A dog hear a chaotic flood in the hospital, unexpectedly and people are panicking!",low
"There’s a lost and unexpected fire in the construction site, loudly and it’s getting worse!",high
"A firefighter see a rapid landslide at the tunnel, urgently causing a huge mess!",immediate
"A kid found a strange gas leak in the factory, violently and it’s getting worse!",life-threatening
"There’s a lost and massive leak in the school, violently and people are panicking!",high
"A passenger hear a dangerous power outage at the office building, unexpectedly with no one helping!",high
"A dog see a horrible shooting at the construction site, loudly and people are panicking!",low
"There’s a unstable and intense leak in the tunnel, quickly causing a huge mess!",alert
"A firefighter see a dangerous scream in the tunnel, loudly causing a huge mess!",medium
"There’s a missing and uncontrolled flood at the school, rapidly near my house!",medium
"There’s a freezing and terrifying roadblock in the house, dangerously with no one helping!",low
"There’s a stuck and massive explosion on the stadium, unexpectedly right now!",medium
"A shopkeeper hear a uncontrolled vandalism on the construction site, rapidly that’s blocking traffic!",emergency
"There’s a broken and unexpected roadblock at the construction site, unexpectedly near my house!",high
"A shopkeeper see a unexpected fire on the alley, unexpectedly with no one helping!",critical
"A woman found a loud crash at the subway, urgently near my house!",medium
"There’s a drowning and dangerous assault at the house, frantically near my house!",critical
"A dog found a uncontrolled gas leak on the park, rapidly that’s blocking traffic!",medium
"A dog see a sudden assault in the tunnel, unexpectedly near my house!",immediate
"There’s a bleeding and terrifying riot at the office building, suddenly in the middle of the night!",medium
"There’s a freezing and uncontrolled robbery in the bridge, loudly that’s blocking traffic!",medium
"An old man found a rapid flood at the bridge, violently right now!",life-threatening
"There’s a unstable and strange crash in the parking lot, unexpectedly and people are panicking!",low
"A stranger hear a dangerous fight in the school, rapidly causing a huge mess!",high
"A child see a rapid earthquake at the store, loudly that’s blocking traffic!",medium
"A driver see a dangerous riot on the house, dangerously with no one helping!",life-threatening
"A cyclist found a massive drowning on the shopping mall, loudly and people are panicking!",medium
"A group of people see a horrible fight at the beach, rapidly causing a huge mess!",high
"There’s a suffocating and dangerous earthquake in the alley, loudly that’s blocking traffic!",medium
"There’s a malfunctioning and intense drowning on the office building, urgently in the middle of the night!",high
"My neighbor hear a rapid fire at the hospital, violently causing a huge mess!",high
"A driver see a terrifying drowning on the parking lot, dangerously in the middle of the night!",medium
"There’s a unstable and uncontrolled vandalism on the subway, rapidly that’s blocking traffic!",medium
"A passenger see a dangerous flood at the beach, suddenly causing a huge mess!",low
"A woman see a dangerous explosion on the hospital, violently near my house!",medium
"An old man found a uncontrolled robbery at the alley, unexpectedly near my house!",medium
"There’s a lost and loud medical emergency on the construction site, frantically with no one helping!",medium
"There’s a unstable and loud fight in the hospital, suddenly and people are panicking!",medium
"There’s a collapsing and unexpected landslide on the alley, dangerously near my house!",high
"There’s a vandalized and sudden scream in the stadium, urgently causing a huge mess!",low
"A child hear a terrifying crash on the school, rapidly right now!",low
"There’s a unconscious and chaotic explosion on the school, rapidly and people are panicking!",medium
"There’s a unstable and horrible roadblock on the subway, quickly that’s blocking traffic!",medium
"A group of people see a intense medical emergency in the apartment, urgently and it’s getting worse!",critical
"There’s a freezing and severe fire at the alley, quickly that’s blocking traffic!",emergency
"There’s a abandoned and strange leak at the house, rapidly in the middle of the night!",immediate
"A cyclist hear a unexpected explosion in the stadium, dangerously causing a huge mess!",low
"There’s a freezing and uncontrolled roadblock in the store, urgently right now!",low
"There’s a freezing and horrible power outage in the stadium, suddenly in the middle of the night!",high
"There’s a trapped and sudden assault at the bridge, loudly right now!",medium
"A passenger see a dangerous crash in the store, frantically that’s blocking traffic!",severe
"My neighbor found a massive power outage on the store, suddenly in the middle of the night!",severe
"A child see a uncontrolled medical emergency on the school, loudly in the middle of the night!",medium
"There’s a trapped and unexpected crash at the beach, urgently near my house!",high
"Someone found a dangerous vandalism at the construction site, rapidly near my house!",low
"A kid hear a dangerous roadblock at the stadium, unexpectedly in the middle of the night!",medium
"There’s a missing and strange fight at the construction site, suddenly and people are panicking!",medium
"There’s a trapped and massive crash at the office building, rapidly with no one helping!",critical
"There’s a burning and sudden explosion at the store, loudly and people are panicking!",low
"There’s a unstable and chaotic drowning at the park, urgently causing a huge mess!",alert
"An old man see a massive crash on the beach, dangerously with no one helping!",alert
"Someone see a uncontrolled gas leak on the apartment, loudly near my house!",low
"A firefighter found a chaotic leak at the tunnel, dangerously with no one helping!",medium
"An old man found a strange earthquake at the office building, unexpectedly and people are panicking!",low
"A shopkeeper see a unexpected roadblock at the bridge, urgently causing a huge mess!",low
"There’s a malfunctioning and uncontrolled medical emergency in the beach, suddenly and it’s getting worse!",medium
"A woman found a strange explosion at the alley, quickly in the middle of the night!",severe
"A group of people found a rapid vandalism at the factory, frantically near my house!",critical
"A driver found a chaotic earthquake at the apartment, loudly in the middle of the night!",low
"A stranger hear a chaotic fight in the stadium, frantically near my house!",medium
"An old man found a terrifying robbery at the alley, urgently with no one helping!",medium
"There’s a stuck and sudden shooting at the school, quickly right now!",emergency
"I see a massive flood on the factory, rapidly in the middle of the night!",critical
"My neighbor found a terrifying earthquake in the construction site, dangerously and people are panicking!",medium
"A stranger hear a massive drowning in the school, urgently and it’s getting worse!",medium
"There’s a lost and strange scream at the street, urgently in the middle of the night!",immediate
"A dog hear a massive flood in the office building, urgently in the middle of the night!",low
"A dog hear a severe gas leak on the construction site, suddenly near my house!",high
"My neighbor found a unexpected leak on the bridge, frantically near my house!",high
"There’s a lost and horrible assault on the beach, frantically with no one helping!",medium
"There’s a broken and chaotic medical emergency on the bridge, quickly and people are panicking!",emergency
"There’s a broken and massive landslide at the school, loudly and people are panicking!",low
"There’s a unconscious and massive robbery on the hospital, violently with no one helping!",high
